11-Dec-22,14:18:23.770 5 **     a14d sm_debug::write, Index file request: /
11-Dec-22,14:18:23.780 7        a14d sm_atm::__construct, Starting ATM: atm_default, ACP: 
11-Dec-22,14:18:23.782 7        a14d sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:25.753 5 **     ac66 sm_debug::write, Index file request: /login/doLogout
11-Dec-22,14:18:25.761 7        ac66 sm_atm::__construct, Starting ATM: atm_login, ACP: doLogout
11-Dec-22,14:18:25.763 7        ac66 sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:25.770 7        ac66 atm_login::acp_doLogout, user admin is going to logout now
11-Dec-22,14:18:25.772 7        ac66 ent_session::end, Closing session 11
11-Dec-22,14:18:25.773 7        ac66 ent_session::end, Closing session for user 1
11-Dec-22,14:18:25.774 7        ac66 atm_login::acp_doLogout, logged out
11-Dec-22,14:18:25.782 5 **     051a sm_debug::write, Index file request: /login/
11-Dec-22,14:18:25.787 7        051a sm_atm::__construct, Starting ATM: atm_login, ACP: 
11-Dec-22,14:18:25.788 7        051a sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:25.792 7        051a atm_login::acp_showLogin, Loading configuration for login page
11-Dec-22,14:18:28.466 5 **     dd9e sm_debug::write, Index file request: /login/doLogin?login=a&password=7b21848ac9af35be0ddb2d6b9fc3851934db8420&rtype=ajax
11-Dec-22,14:18:28.474 7        dd9e sm_atm::__construct, Starting ATM: atm_login, ACP: doLogin
11-Dec-22,14:18:28.476 7        dd9e sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:28.481 7        dd9e sm_atm::__construct, Running AJAX request
11-Dec-22,14:18:28.482 7        dd9e atm_login::doLogin, doLogin: Login: a
11-Dec-22,14:18:28.484 7        dd9e atm_login::doLogin, Login: Checking password
11-Dec-22,14:18:28.485 7        dd9e atm_login::doLogin, debug 1
11-Dec-22,14:18:28.485 7        dd9e atm_login::doLogin, debug 2
11-Dec-22,14:18:28.490 5 **     4a99 sm_debug::write, Index file request: /
11-Dec-22,14:18:28.495 7        4a99 sm_atm::__construct, Starting ATM: atm_default, ACP: 
11-Dec-22,14:18:28.495 7        4a99 sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:29.617 5 **     3c16 sm_debug::write, Index file request: /tasks
11-Dec-22,14:18:29.628 7        3c16 sm_atm::__construct, Starting ATM: atm_tasks, ACP: 
11-Dec-22,14:18:29.629 7        3c16 sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-22,14:18:29.639 7        3c16 ent_task::getOpenList, Getting open task list: 0, 0, 0, 0
11-Dec-22,14:18:29.641 7        3c16 ent_task::getOpenList, Tasks found: 9
11-Dec-22,14:18:29.645 7        3c16 atm_tasks::acp_schedule, Adding repeated task for date 2011-12-22
11-Dec-22,14:18:29.645 7        3c16 atm_tasks::acp_schedule, New start time = 2011-12-22 19:00:00
11-Dec-22,14:18:29.646 7        3c16 atm_tasks::acp_schedule, New end time = 2011-12-22 21:30:00
11-Dec-22,14:18:29.646 7        3c16 atm_tasks::acp_schedule, Adding repeated task for date 2011-12-23
11-Dec-22,14:18:29.647 7        3c16 atm_tasks::acp_schedule, New start time = 2011-12-23 19:00:00
